Number,Column1,Group1,Group2,Group3,Group4,Group5,Group6,
8.7.2.1.1,,External Works,External Services,Electricity Mains Supply,Connections to Statutory Undertakers Electricity Main,,Connections to Statutory Undertakers Electricity Main,
8.7.2.2,,External Works,External Services,Electricity Mains Supply,Service Runs,,,
8.7.2.2.1,,External Works,External Services,Electricity Mains Supply,Service Runs,,Service Runs,
8.7.2.3,,External Works,External Services,Electricity Mains Supply,Transformer Sub-Stations,,,
8.7.2.3.1,,External Works,External Services,Electricity Mains Supply,Transformer Sub-Stations,,Transformer Sub-Stations,
8.7.2.4,,External Works,External Services,Electricity Mains Supply,External Electricity Generation Installation Plant,,,
8.7.2.4.1,,External Works,External Services,Electricity Mains Supply,External Electricity Generation Installation Plant,,External Electricity Generation Installation Plant,
8.7.3,,External Works,External Services,External Transformation Services,,,,
8.7.3.1,,External Works,External Services,External Transformation Services,Wind Turbines,,,
8.7.3.1.1,,External Works,External Services,External Transformation Services,Wind Turbines,,Wind Turbines,
8.7.3.2,,External Works,External Services,External Transformation Services,Photovoltaic Devices,,,
8.7.3.2.1,,External Works,External Services,External Transformation Services,Photovoltaic Devices,,Photovoltaic Devices,
8.7.3.3,,External Works,External Services,External Transformation Services,Other Transformation Devices,,,
8.7.3.3.1,,External Works,External Services,External Transformation Services,Other Transformation Devices,,Other Transformation Devices,
8.7.3.4,,External Works,External Services,External Transformation Services,Testing of Installations,,,
8.7.3.4.1,,External Works,External Services,External Transformation Services,Testing of Installations,,Testing of Installations,
8.7.3.5,,External Works,External Services,External Transformation Services,Commissioning of Installations,,,
8.7.3.5.1,,External Works,External Services,External Transformation Services,Commissioning of Installations,,Commissioning of Installations,
8.7.4,,External Works,External Services,Electricity Distribution to External Plant and Equipment,,,,
8.7.4.1,,External Works,External Services,Electricity Distribution to External Plant and Equipment,Connections to External Plant and Equipment,,,
8.7.4.1.1,,External Works,External Services,Electricity Distribution to External Plant and Equipment,Connections to External Plant and Equipment,,Connections to External Plant and Equipment,
8.7.4.2,,External Works,External Services,Electricity Distribution to External Plant and Equipment,Connections to External Equipment,,,
8.7.4.2.1,,External Works,External Services,Electricity Distribution to External Plant and Equipment,Connections to External Equipment,,Connections to External Equipment,
8.7.4.3,,External Works,External Services,Electricity Distribution to External Plant and Equipment,Service Runs,,,
8.7.4.3.1,,External Works,External Services,Electricity Distribution to External Plant and Equipment,Service Runs,,Service Runs,
8.7.4.4,,External Works,External Services,Electricity Distribution to External Plant and Equipment,Testing of Installations,,,
8.7.4.4.1,,External Works,External Services,Electricity Distribution to External Plant and Equipment,Testing of Installations,,Testing of Installations,
8.7.4.5,,External Works,External Services,Electricity Distribution to External Plant and Equipment,Commissioning of Installations,,,
8.7.4.5.1,,External Works,External Services,Electricity Distribution to External Plant and Equipment,Commissioning of Installations,,Commissioning of Installations,
8.7.5,,External Works,External Services,Gas Mains Supply,,,,
8.7.5.1,,External Works,External Services,Gas Mains Supply,Connections to Statutory Undertakers Gas Main,,,
8.7.5.1.1,,External Works,External Services,Gas Mains Supply,Connections to Statutory Undertakers Gas Main,,Connections to Statutory Undertakers Gas Main,
8.7.5.2,,External Works,External Services,Gas Mains Supply,Service Runs,,,
8.7.5.2.1,,External Works,External Services,Gas Mains Supply,Service Runs,,Service Runs,
8.7.5.3,,External Works,External Services,Gas Mains Supply,Governing Stations,,,
8.7.5.3.1,,External Works,External Services,Gas Mains Supply,Governing Stations,,Governing Stations,
8.7.5.4,,External Works,External Services,Gas Mains Supply,Testing of Installations,,,
8.7.5.4.1,,External Works,External Services,Gas Mains Supply,Testing of Installations,,Testing of Installations,
8.7.5.5,,External Works,External Services,Gas Mains Supply,Commissioning of Installations,,,
8.7.5.5.1,,External Works,External Services,Gas Mains Supply,Commissioning of Installations,,Commissioning of Installations,
8.7.6,,External Works,External Services,Telecommunications and Other Communication Systems,,,,
8.7.6.1,,External Works,External Services,Telecommunications and Other Communication Systems,Telecommunication Connections,,,
8.7.6.1.1,,External Works,External Services,Telecommunications and Other Communication Systems,Telecommunication Connections,,Telecommunication Connections,
8.7.6.2,,External Works,External Services,Telecommunications and Other Communication Systems,Cable Television Connections,,,
8.7.6.2.1,,External Works,External Services,Telecommunications and Other Communication Systems,Cable Television Connections,,Cable Television Connections,
8.7.6.3,,External Works,External Services,Telecommunications and Other Communication Systems,Other Communication Connections,,,
8.7.6.3.1,,External Works,External Services,Telecommunications and Other Communication Systems,Other Communication Connections,,Other Communication Connections,
8.7.6.4,,External Works,External Services,Telecommunications and Other Communication Systems,Service Runs,,,
8.7.6.4.1,,External Works,External Services,Telecommunications and Other Communication Systems,Service Runs,,Service Runs,
8.7.6.5,,External Works,External Services,Telecommunications and Other Communication Systems,Testing of Installations,,,
8.7.6.5.1,,External Works,External Services,Telecommunications and Other Communication Systems,Testing of Installations,,Testing of Installations,
8.7.6.6,,External Works,External Services,Telecommunications and Other Communication Systems,Commissioning of Installations,,,
8.7.6.6.1,,External Works,External Services,Telecommunications and Other Communication Systems,Commissioning of Installations,,Commissioning of Installations,
8.7.7,,External Works,External Services,External Fuel Storage and Piped Distribution Systems,,,,
8.7.7.1,,External Works,External Services,External Fuel Storage and Piped Distribution Systems,Fuel Storage and Piped Distribution Systems,,,
8.7.7.1.1,,External Works,External Services,External Fuel Storage and Piped Distribution Systems,Fuel Storage and Piped Distribution Systems,,Fuel Storage and Piped Distribution Systems,
8.7.7.2,,External Works,External Services,External Fuel Storage and Piped Distribution Systems,Service Runs,,,
8.7.7.2.1,,External Works,External Services,External Fuel Storage and Piped Distribution Systems,Service Runs,,Service Runs,
8.7.7.3,,External Works,External Services,External Fuel Storage and Piped Distribution Systems,Testing of Installations,,,
8.7.7.3.1,,External Works,External Services,External Fuel Storage and Piped Distribution Systems,Testing of Installations,,Testing of Installations,
8.7.7.4,,External Works,External Services,External Fuel Storage and Piped Distribution Systems,Commissioning of Installations,,,
8.7.7.4.1,,External Works,External Services,External Fuel Storage and Piped Distribution Systems,Commissioning of Installations,,Commissioning of Installations,
8.7.8,,External Works,External Services,External Security Systems,,,,
8.7.8.1,,External Works,External Services,External Security Systems,Surveillance Equipment,,,
8.7.8.1.1,,External Works,External Services,External Security Systems,Surveillance Equipment,,Surveillance Equipment,
8.7.8.10,,External Works,External Services,External Security Systems,Commissioning of Installations,,,
8.7.8.10.1,,External Works,External Services,External Security Systems,Commissioning of Installations,,Commissioning of Installations,
8.7.8.2,,External Works,External Services,External Security Systems,Security Detection Equipment,,,
8.7.8.2.1,,External Works,External Services,External Security Systems,Security Detection Equipment,,Security Detection Equipment,
8.7.8.3,,External Works,External Services,External Security Systems,Security Alarm Equipment,,,
8.7.8.3.1,,External Works,External Services,External Security Systems,Security Alarm Equipment,,Security Alarm Equipment,
8.7.8.4,,External Works,External Services,External Security Systems,Gate Access Control Systems,,,
8.7.8.4.1,,External Works,External Services,External Security Systems,Gate Access Control Systems,,Gate Access Control Systems,
8.7.8.5,,External Works,External Services,External Security Systems,Gate Entry Systems,,,
8.7.8.5.1,,External Works,External Services,External Security Systems,Gate Entry Systems,,Gate Entry Systems,
8.7.8.6,,External Works,External Services,External Security Systems,Security Lights and Lighting Systems,,,
8.7.8.6.1,,External Works,External Services,External Security Systems,Security Lights and Lighting Systems,,Security Lights and Lighting Systems,
8.7.8.7,,External Works,External Services,External Security Systems,Other Secirity Systems,,,
8.7.8.7.1,,External Works,External Services,External Security Systems,Other Secirity Systems,,Other Secirity Systems,
8.7.8.8,,External Works,External Services,External Security Systems,Service Runs,,,
8.7.8.8.1,,External Works,External Services,External Security Systems,Service Runs,,Service Runs,
8.7.8.9,,External Works,External Services,External Security Systems,Testing of Installations,,,
8.7.8.9.1,,External Works,External Services,External Security Systems,Testing of Installations,,Testing of Installations,
8.7.9,,External Works,External Services,External Street Lighting Systems,,,,
8.7.9.1,,External Works,External Services,External Street Lighting Systems,External Lighting to Pedestrian Areas,,,
8.7.9.1.1,,External Works,External Services,External Street Lighting Systems,External Lighting to Pedestrian Areas,,External Lighting to Pedestrian Areas,
8.7.9.2,,External Works,External Services,External Street Lighting Systems,External Lighting to Paths,,,
8.7.9.2.1,,External Works,External Services,External Street Lighting Systems,External Lighting to Paths,,External Lighting to Paths,
8.7.9.3,,External Works,External Services,External Street Lighting Systems,Illuminated Traffic Signs,,,
8.7.9.3.1,,External Works,External Services,External Street Lighting Systems,Illuminated Traffic Signs,,Illuminated Traffic Signs,
8.7.9.4,,External Works,External Services,External Street Lighting Systems,Testing of Installations,,,
8.7.9.4.1,,External Works,External Services,External Street Lighting Systems,Testing of Installations,,Testing of Installations,
8.7.9.5,,External Works,External Services,External Street Lighting Systems,Commissioning of Installations,,,
8.7.9.5.1,,External Works,External Services,External Street Lighting Systems,Commissioning of Installations,,Commissioning of Installations,
8.8,,External Works,Minor Building Works and Ancillary Buildings,,,,,
8.8.1,,External Works,Minor Building Works and Ancillary Buildings,Minor Building Works,,,,
8.8.1.1,,External Works,Minor Building Works and Ancillary Buildings,Minor Building Works,Refurbishment of Existing Ancillary Buildings,,,
8.8.1.1.1,,External Works,Minor Building Works and Ancillary Buildings,Minor Building Works,Refurbishment of Existing Ancillary Buildings,,Refurbishment of Existing Ancillary Buildings,
8.8.1.2,,External Works,Minor Building Works and Ancillary Buildings,Minor Building Works,Overhauling Existing Mechanical and Electrical Plant and Equiment,,,
8.8.1.2.1,,External Works,Minor Building Works and Ancillary Buildings,Minor Building Works,Overhauling Existing Mechanical and Electrical Plant and Equiment,,Overhauling Existing Mechanical and Electrical Plant and Equiment,
8.8.1.3,,External Works,Minor Building Works and Ancillary Buildings,Minor Building Works,Repairs to Existing Fences Railings Walls and Screen Walls,,,
8.8.1.3.1,,External Works,Minor Building Works and Ancillary Buildings,Minor Building Works,Repairs to Existing Fences Railings Walls and Screen Walls,,Repairs to Existing Fences Railings Walls and Screen Walls,
8.8.2,,External Works,Minor Building Works and Ancillary Buildings,Ancillary Buildings and Structures,,,,
8.8.2.1,,External Works,Minor Building Works and Ancillary Buildings,Ancillary Buildings and Structures,Minor Ancillary Buildings-Built,,,
8.8.2.1.1,,External Works,Minor Building Works and Ancillary Buildings,Ancillary Buildings and Structures,Minor Ancillary Buildings-Built,,Minor Ancillary Buildings-Built,
8.8.2.2,,External Works,Minor Building Works and Ancillary Buildings,Ancillary Buildings and Structures,Minor Ancillary Building-Prefabricated Proprietary,,,
8.8.2.2.1,,External Works,Minor Building Works and Ancillary Buildings,Ancillary Buildings and Structures,Minor Ancillary Building-Prefabricated Proprietary,,Minor Ancillary Building-Prefabricated Proprietary,
8.8.3,,External Works,Minor Building Works and Ancillary Buildings,Underpinning to External Site Boundary Walls,,,,
8.8.3.1,,External Works,Minor Building Works and Ancillary Buildings,Underpinning to External Site Boundary Walls,Underpinning to External Site Boundary Walls,,,
8.8.3.1.1,,External Works,Minor Building Works and Ancillary Buildings,Underpinning to External Site Boundary Walls,Underpinning to External Site Boundary Walls,,Underpinning to External Site Boundary Walls,
